ProgramSection,ProgramSubSection,Activity,AgeGroup,Location,CourseCode,CourseComments,CourseDayofWeek,CourseDate,CourseTime
Aquatics,Specialty Aquatics,RC Teen Swim Basics 2,12-18 years,West End Community Centre,166101,Combined with Teen Strokes 3,Thu,Jul 3-Aug 28,7:30-8:15 p.m.
Aquatics,Specialty Aquatics,RC Teen Swim Strokes 3,12-18 years,West End Community Centre,166102,Combined with Teen Basics 2,Thu,Jul 3-Aug 28,7:30-8:15 p.m.
Aquatics,Preschool Aquatics,RC Whale,3-6 years,West End Community Centre,166103,Combined with Crocodile,Mon/Wed,Jun 30-Jul 28,7-7:30 p.m.
Aquatics,Preschool Aquatics,RC Whale,3-6 years,West End Community Centre,166105,Combined with Crocodile  No class July 1,Mon-Fri,Jun 30-Jul 11,8:30-9 a.m.
Aquatics,Preschool Aquatics,RC Whale,3-6 years,West End Community Centre,166106,Combined with Crocodile,Wed,Jul 2-Aug 27,6:30-7 p.m.
Aquatics,Preschool Aquatics,RC Whale,3-6 years,West End Community Centre,166107,Combined with Crocodile,Thu,Jul 3-Aug 28,6-6:30 p.m.
Aquatics,Preschool Aquatics,RC Whale,3-6 years,West End Community Centre,166109,Combined with Crocodile,Thu/Tue,Jul3-31,7-7:30 p.m.
Aquatics,Preschool Aquatics,RC Whale,3-6 years,West End Community Centre,166110,Combined with Crocodile,Wed,Jul 2-Aug 27,4:30-5 p.m.
Aquatics,Preschool Aquatics,Sea Lion,32mos-5 years,West End Community Centre,166111,,Mon/Wed,Jun 30-Jul 28,5-5:30 p.m.
Aquatics,Preschool Aquatics,Sea Lion,32mos-5 years,West End Community Centre,166112,,Thu/Tue,Jul3-31,6:30-7 p.m.
Aquatics,Preschool Aquatics,Sea Lion,32mos-5 years,West End Community Centre,166114,,Thu,Jul 3-Aug 28,7:30-8 p.m.
Aquatics,Preschool Aquatics,Sea Lion,32mos-5 years,West End Community Centre,166115,No class July 1,Mon-Fri,Jun 30-Jul 11,8:30-9 a.m.
Aquatics,Preschool Aquatics,Sea Lion,32mos-5 years,West End Community Centre,166116,,Thu/Tue,Jul3-31,5-5:30 p.m.
Aquatics,H3O Classes (Tri-Privates),H30 - RC Salamander,3-6 years,West End Community Centre,166141,No class Aug 4,Mon,Jun 30-Aug 25,6-6:30 p.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-15 years,West End Community Centre,166152,No class July 1,Mon-Fri,Jun 30-Jul 11,10-10:30 a.m.
Aquatics,Private Aquatic Lessons,Privates - WECC,3-99 years,West End Community Centre,166157,,Tue,Jul 8-Aug 26,6:45-7:15 p.m.
